FDmonth, FDsales, FDcsum, FDmsum
40269, 1000, , 
40299, 1000, , 
40330, 1000, , 
40360, 1000, , 
40391, 1000, , 
40422, 1000, , 
40452, 1000, , 
40483, 1000, , 
40513, 1000, , 
40544, 1000, , 
40575, 1000, , 
40603, 1000, , 
40634, 1000, 1000, 12000
40664, 1000, 2000, 12000
40695, 1000, 3000, 12000
40725, 1000, 4000, 12000
40756, 1000, 5000, 12000
40787, 1000, 6000, 12000
40817, 1000, 7000, 12000
40848, 1000, 8000, 12000
40878, 1000, 9000, 12000
40909, 1000, 10000, 12000
40940, 1000, 11000, 12000
40969, 1000, 12000, 12000
