LSmonth, LSsales, LScsum, LSmsum
40269, 1000, , 
40299, 1010, , 
40330, 1020, , 
40360, 1030, , 
40391, 1041, , 
40422, 1051, , 
40452, 1062, , 
40483, 1072, , 
40513, 1083, , 
40544, 1094, , 
40575, 1105, , 
40603, 1116, , 
40634, 1127, 1127, 12811
40664, 1138, 2265, 12939
40695, 1149, 3414, 13068
40725, 1161, 4575, 13199
40756, 1173, 5748, 13331
40787, 1184, 6932, 13464
40817, 1196, 8128, 13598
40848, 1208, 9336, 13734
40878, 1220, 10556, 13871
40909, 1232, 11788, 14009
40940, 1245, 13033, 14149
40969, 1257, 14290, 14290
