Year, Food, Leisure, Appliances
40544, 2134, 567, 26913
40575, 1863, 516, 23848
40603, 1877, 387, 27181
40634, 1877, 537, 24990
40664, 1492, 555, 26056
40695, 1249, 513, 24614
40725, 1280, 537, 24727
40756, 1131, 882, 24151
40787, 1209, 591, 23425
40817, 1492, 516, 23477
40848, 1621, 582, 21922
40878, 1846, 489, 22120
40909, 2103, 528, 21689
40940, 2137, 489, 21339
40969, 2153, 534, 23959
41000, 1833, 510, 21919
41030, 1403, 726, 22002
41061, 1288, 492, 21011
41091, 1186, 546, 23729
41122, 1133, 555, 24074
41153, 1053, 435, 23355
41183, 1347, 516, 23360
41214, 1545, 594, 22009
41244, 2066, 564, 22323
41275, 2020, 330, 22187
41306, 2750, 564, 20285
41334, 2283, 645, 23840
41365, 1479, 552, 21922
41395, 1189, 591, 22472
41426, 1160, 540, 22373
41456, 1113, 486, 24200
41487, 970, 534, 23754
41518, 999, 588, 22488
41548, 1208, 618, 23392
41579, 1467, 630, 21309
41609, 2059, 220, 21823
41640, 2240, 600, 21798
41671, 1634, 630, 20250
41699, 1722, 591, 22674
41730, 1801, 597, 20865
41760, 1246, 618, 22011
